window_start,anchor_id,packet_count,packet_loss_rate,scan_duration_ms,rssi_mean,rssi_median,rssi_min,rssi_max,rssi_std,rssi_variance,rssi_range,rssi_p05,rssi_p10,rssi_p25,rssi_p75,rssi_p90,rssi_p95,rssi_iqr,rssi_p90_10_range,rssi_mad,rssi_snr,rssi_skewness,rssi_kurtosis,rssi_delta_mean,rssi_delta_std,rssi_delta_max,observed_adv_interval,adv_interval_std,path_loss_free_space,path_loss_indoor,rssi_mean_to_std_ratio,rssi_median_mean_diff,rssi_slope,rssi_trend_strength,rssi_ema_diff,rssi_first_half_mean,rssi_second_half_mean,rssi_half_diff,rssi_autocorrelation,rssi_energy,rssi_bin_neg100_90,rssi_bin_neg90_80,rssi_bin_neg80_70,rssi_bin_neg70_60,rssi_bin_neg60_50,rssi_bin_neg50_30,rssi_mean_delta,rssi_mean_slope_3w,rssi_mean_slope_5w,rssi_rolling_mean_3w,rssi_rolling_std_3w,rssi_rolling_mean_5w,rssi_rolling_std_5w,rssi_ema_cross_window,rssi_velocity,rssi_acceleration,signal_stability_index,rssi_rolling_mean_10w,rssi_rolling_std_10w,rssi_motion_direction,rssi_snr_rolling_5w,distance_m,height_m,obstacle,obstacle_type,motion,session_id
1237007,ANCHOR_01,1,0.98,0.0,-83.0,-83.0,-83.0,-83.0,0.0,0.0,0.0,-83.0,-83.0,-83.0,-83.0,-83.0,-83.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1254,5.8434,-83.0,0.0,0.0,0.0,0.0,-83.0,-83.0,0.0,0.0,6889.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.5,-0.7,-87.0,3.6056,-85.6,3.3615,-85.8233,7.0,8.0,0.0,-85.6,2.3664,-1.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1239007,ANCHOR_01,1,0.98,0.0,-83.0,-83.0,-83.0,-83.0,0.0,0.0,0.0,-83.0,-83.0,-83.0,-83.0,-83.0,-83.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1254,5.8434,-83.0,0.0,0.0,0.0,0.0,-83.0,-83.0,0.0,0.0,6889.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.9,-85.3333,4.0415,-85.8,3.1145,-84.9763,0.0,-7.0,0.2,-85.5,2.4608,1.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1240007,ANCHOR_01,1,0.98,0.0,-86.0,-86.0,-86.0,-86.0,0.0,0.0,0.0,-86.0,-86.0,-86.0,-86.0,-86.0,-86.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9526,7.3564,-86.0,0.0,0.0,0.0,0.0,-86.0,-86.0,0.0,0.0,7396.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0,-1.5,1.1,-84.0,1.7321,-86.0,3.0822,-85.2834,-3.0,-3.0,0.2,-85.6,2.4585,1.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1242007,ANCHOR_01,1,0.98,0.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,0.0,-89.0,-89.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.2612,-89.0,0.0,0.0,0.0,0.0,-89.0,-89.0,0.0,0.0,7921.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-0.1,-86.0,3.0,-86.2,3.2711,-86.3984,-1.5,1.5,0.2,-85.9,2.6854,0.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1244007,ANCHOR_01,1,0.98,0.0,-85.0,-85.0,-85.0,-85.0,0.0,0.0,0.0,-85.0,-85.0,-85.0,-85.0,-85.0,-85.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7828,6.8129,-85.0,0.0,0.0,0.0,0.0,-85.0,-85.0,0.0,0.0,7225.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.5,-1.0,-86.6667,2.0817,-85.2,2.49,-85.9789,2.0,3.5,0.2,-85.8,2.6998,-1.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1245007,ANCHOR_01,1,0.98,0.0,-84.0,-84.0,-84.0,-84.0,0.0,0.0,0.0,-84.0,-84.0,-84.0,-84.0,-84.0,-84.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8489,6.3096,-84.0,0.0,0.0,0.0,0.0,-84.0,-84.0,0.0,0.0,7056.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.5,-0.1,-86.0,2.6458,-85.4,2.3022,-85.3852,1.0,-1.0,0.4,-85.5,2.7183,0.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1246007,ANCHOR_01,1,0.98,0.0,-84.0,-84.0,-84.0,-84.0,0.0,0.0,0.0,-84.0,-84.0,-84.0,-84.0,-84.0,-84.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8489,6.3096,-84.0,0.0,0.0,0.0,0.0,-84.0,-84.0,0.0,0.0,7056.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9,-84.3333,0.5774,-85.6,2.0736,-84.9696,0.0,-1.0,0.4,-85.7,2.4967,1.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1248007,ANCHOR_01,1,0.98,0.0,-90.0,-90.0,-90.0,-90.0,0.0,0.0,0.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,-90.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0.0,0.0,8100.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,-3.0,-0.1,-86.0,3.4641,-86.4,2.881,-86.4788,-3.0,-3.0,0.4,-86.2,2.8206,0.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1250007,ANCHOR_01,1,0.98,0.0,-84.0,-84.0,-84.0,-84.0,0.0,0.0,0.0,-84.0,-84.0,-84.0,-84.0,-84.0,-84.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8489,6.3096,-84.0,0.0,0.0,0.0,0.0,-84.0,-84.0,0.0,0.0,7056.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,-0.4,-86.0,3.4641,-85.4,2.6077,-85.7351,3.0,6.0,0.4,-85.8,2.8206,-1.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
1251007,ANCHOR_01,1,0.98,0.0,-85.0,-85.0,-85.0,-85.0,0.0,0.0,0.0,-85.0,-85.0,-85.0,-85.0,-85.0,-85.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7828,6.8129,-85.0,0.0,0.0,0.0,0.0,-85.0,-85.0,0.0,0.0,7225.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,2.5,-0.2,-86.3333,3.2146,-85.4,2.6077,-85.5146,-1.0,-4.0,0.6,-85.3,2.406,0.0,100000.0,5.3,1.12,Yes,Wooden Door,stationary,dataset_2026-08-01_152116.csv
